Entity,Code,Day,"Daily new estimated infections of COVID-19 (IHME, mean)","Daily new estimated infections of COVID-19 (IHME, lower)","Daily new estimated infections of COVID-19 (IHME, upper)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)"
Australia,AUS,2020-02-10,44.81,37.8,50.97,0.429
Australia,AUS,2020-02-11,45.65,37.71,55.62,0.429
Australia,AUS,2020-02-12,48.57,38.05,61.27,0.286
Australia,AUS,2020-02-13,51.32,38.76,62.09,0.143
Australia,AUS,2020-02-14,57.84,40.35,88.74,0.0
Australia,AUS,2020-02-15,80.18,46.93,176.34,0.0
Australia,AUS,2020-02-16,122.62,51.17,291.44,0.0
Australia,AUS,2020-02-17,181.44,51.58,395.08,0.0
Australia,AUS,2020-02-18,253.07,74.29,482.8,0.0
Australia,AUS,2020-02-19,330.04,135.6,555.68,0.0
Australia,AUS,2020-02-20,402.5,211.83,615.1,0.0
Australia,AUS,2020-02-21,463.23,281.65,650.81,0.0
Australia,AUS,2020-02-22,504.08,346.02,645.71,0.857
Australia,AUS,2020-02-23,522.02,395.62,636.68,1.0
Australia,AUS,2020-02-24,521.77,424.07,628.15,1.0
Australia,AUS,2020-02-25,507.3,408.37,632.96,1.0
Australia,AUS,2020-02-26,485.56,391.95,619.69,1.143
Australia,AUS,2020-02-27,464.17,375.74,591.33,1.143
Australia,AUS,2020-02-28,444.36,359.6,563.21,1.143
Australia,AUS,2020-02-29,426.74,346.59,539.95,0.571
Australia,AUS,2020-03-01,410.95,336.56,521.85,0.429
Australia,AUS,2020-03-02,395.73,323.91,501.06,1.0
Australia,AUS,2020-03-03,382.41,313.81,479.69,1.0
Australia,AUS,2020-03-04,371.35,303.6,462.73,1.429
Australia,AUS,2020-03-05,363.15,297.74,449.18,2.857
Australia,AUS,2020-03-06,359.3,296.88,444.27,4.857
Australia,AUS,2020-03-07,359.28,295.18,446.67,5.429
Australia,AUS,2020-03-08,362.13,292.17,448.81,6.429
Australia,AUS,2020-03-09,366.62,294.2,440.11,6.857
Australia,AUS,2020-03-10,371.11,296.03,437.45,9.0
Australia,AUS,2020-03-11,373.15,299.48,444.61,9.571
Australia,AUS,2020-03-12,373.39,307.51,435.17,11.286
Australia,AUS,2020-03-13,377.28,306.02,447.56,11.857
Australia,AUS,2020-03-14,381.48,311.28,465.6,19.143
Australia,AUS,2020-03-15,381.87,301.72,475.51,25.571
Australia,AUS,2020-03-16,386.41,301.32,469.81,31.571
Australia,AUS,2020-03-17,394.84,316.95,484.99,34.857
Australia,AUS,2020-03-18,402.19,317.4,498.69,44.857
Australia,AUS,2020-03-19,410.48,324.73,515.7,63.286
Australia,AUS,2020-03-20,413.07,329.73,510.46,78.714
Australia,AUS,2020-03-21,406.77,317.49,511.75,96.571
Australia,AUS,2020-03-22,399.15,321.77,512.78,118.857
Australia,AUS,2020-03-23,387.56,302.7,506.66,156.857
Australia,AUS,2020-03-24,370.4,280.19,470.83,196.143
Australia,AUS,2020-03-25,355.15,264.27,467.03,262.571
Australia,AUS,2020-03-26,339.7,254.54,456.83,265.429
Australia,AUS,2020-03-27,321.82,246.63,419.99,327.714
Australia,AUS,2020-03-28,307.63,240.0,394.87,357.857
Australia,AUS,2020-03-29,295.14,236.47,377.16,389.714
Australia,AUS,2020-03-30,281.24,224.26,353.19,385.286
Australia,AUS,2020-03-31,268.84,198.39,329.56,378.571
Australia,AUS,2020-04-01,255.62,181.22,317.69,350.714
Australia,AUS,2020-04-02,240.29,176.5,306.58,364.714
Australia,AUS,2020-04-03,225.78,168.43,309.37,319.857
Australia,AUS,2020-04-04,211.51,151.08,291.76,296.571
Australia,AUS,2020-04-05,196.81,134.88,261.93,260.857
Australia,AUS,2020-04-06,181.08,119.31,242.28,235.857
Australia,AUS,2020-04-07,163.28,106.88,233.02,212.143
Australia,AUS,2020-04-08,144.75,94.31,223.12,178.429
Australia,AUS,2020-04-09,126.9,83.52,204.63,153.714
Australia,AUS,2020-04-10,111.51,76.11,172.74,132.571
Australia,AUS,2020-04-11,99.38,71.78,143.31,112.0
Australia,AUS,2020-04-12,89.71,66.92,125.24,93.429
Australia,AUS,2020-04-13,82.69,64.49,113.55,82.571
Australia,AUS,2020-04-14,78.14,63.9,104.33,74.571
Australia,AUS,2020-04-15,75.35,63.94,92.39,65.714
Australia,AUS,2020-04-16,74.13,64.3,85.9,58.0
Australia,AUS,2020-04-17,74.2,64.01,85.44,45.143
Australia,AUS,2020-04-18,75.73,63.74,88.4,42.143
Australia,AUS,2020-04-19,79.08,65.33,94.0,42.429
Australia,AUS,2020-04-20,83.66,67.97,101.96,41.429
Australia,AUS,2020-04-21,88.88,72.2,108.39,37.0
Australia,AUS,2020-04-22,94.11,78.74,112.19,33.0
Australia,AUS,2020-04-23,98.18,83.13,116.5,28.0
Australia,AUS,2020-04-24,100.21,84.64,119.91,28.429
Australia,AUS,2020-04-25,99.59,82.34,118.81,22.0
Australia,AUS,2020-04-26,96.29,74.82,117.76,16.714
Australia,AUS,2020-04-27,91.02,67.87,117.76,14.429
Australia,AUS,2020-04-28,84.86,62.57,114.22,14.286
Australia,AUS,2020-04-29,79.08,59.44,105.37,13.0
Australia,AUS,2020-04-30,74.18,57.25,95.41,13.143
Australia,AUS,2020-05-01,70.08,55.1,88.71,13.571
Australia,AUS,2020-05-02,66.79,53.7,84.1,11.429
Australia,AUS,2020-05-03,64.08,52.43,79.72,11.429
Australia,AUS,2020-05-04,61.69,51.05,74.67,12.571
Australia,AUS,2020-05-05,59.66,49.07,70.94,14.286
Australia,AUS,2020-05-06,57.93,47.44,68.87,15.857
Australia,AUS,2020-05-07,56.55,46.98,66.81,18.429
Australia,AUS,2020-05-08,55.54,46.77,65.77,19.143
Australia,AUS,2020-05-09,54.83,46.66,64.87,21.0
Australia,AUS,2020-05-10,54.44,46.53,64.52,20.857
Australia,AUS,2020-05-11,54.35,46.58,64.46,20.0
Australia,AUS,2020-05-12,54.4,46.75,64.62,17.571
Australia,AUS,2020-05-13,54.34,46.15,64.97,16.429
Australia,AUS,2020-05-14,54.16,45.86,64.92,14.286
Australia,AUS,2020-05-15,54.13,46.18,64.48,13.286
Australia,AUS,2020-05-16,54.31,46.51,64.67,15.0
Australia,AUS,2020-05-17,54.73,46.71,65.47,15.286
Australia,AUS,2020-05-18,55.38,47.26,66.69,14.857
Australia,AUS,2020-05-19,55.85,47.95,67.83,16.0
Australia,AUS,2020-05-20,55.95,47.08,67.69,14.857
Australia,AUS,2020-05-21,55.76,46.37,67.03,14.857
Australia,AUS,2020-05-22,55.63,46.17,66.71,13.143
Australia,AUS,2020-05-23,55.97,47.11,67.53,10.857
Australia,AUS,2020-05-24,56.72,47.18,70.92,10.0
Australia,AUS,2020-05-25,57.96,47.6,73.73,9.143
Australia,AUS,2020-05-26,60.05,47.97,74.95,8.286
Australia,AUS,2020-05-27,62.32,50.65,79.28,9.286
Australia,AUS,2020-05-28,64.11,52.6,81.21,8.571
Australia,AUS,2020-05-29,65.39,55.6,81.63,9.857
Australia,AUS,2020-05-30,65.94,55.92,81.88,11.143
Australia,AUS,2020-05-31,65.81,53.0,82.06,11.286
Australia,AUS,2020-06-01,65.43,51.64,81.27,12.286
Australia,AUS,2020-06-02,64.9,51.06,79.34,12.286
Australia,AUS,2020-06-03,64.9,51.95,80.43,12.571
Australia,AUS,2020-06-04,66.28,53.6,83.21,12.857
Australia,AUS,2020-06-05,68.83,55.53,88.14,12.857
Australia,AUS,2020-06-06,72.34,59.29,92.47,11.143
Australia,AUS,2020-06-07,76.5,61.99,97.79,10.0
Australia,AUS,2020-06-08,80.44,66.43,100.23,9.286
Australia,AUS,2020-06-09,84.23,71.44,102.9,8.714
Australia,AUS,2020-06-10,87.97,73.79,106.12,6.571
Australia,AUS,2020-06-11,91.85,75.93,113.37,5.429
Australia,AUS,2020-06-12,97.53,80.89,125.63,6.429
Australia,AUS,2020-06-13,106.0,86.03,150.68,5.571
Australia,AUS,2020-06-14,117.51,90.99,171.03,6.714
Australia,AUS,2020-06-15,133.2,94.22,198.26,8.571
Australia,AUS,2020-06-16,152.89,103.96,223.49,10.0
Australia,AUS,2020-06-17,175.04,117.4,247.86,11.429
Australia,AUS,2020-06-18,198.7,136.94,271.15,14.714
Australia,AUS,2020-06-19,222.4,160.86,294.59,15.143
Australia,AUS,2020-06-20,245.62,187.63,320.9,17.0
Australia,AUS,2020-06-21,270.31,210.94,359.61,19.143
Australia,AUS,2020-06-22,297.39,232.7,403.79,20.143
Australia,AUS,2020-06-23,329.29,253.8,468.22,19.857
Australia,AUS,2020-06-24,371.49,279.76,547.95,20.714
Australia,AUS,2020-06-25,423.66,305.98,623.78,21.571
Australia,AUS,2020-06-26,484.23,336.12,706.94,23.857
Australia,AUS,2020-06-27,553.08,383.15,796.77,26.571
Australia,AUS,2020-06-28,623.64,444.72,865.54,29.286
Australia,AUS,2020-06-29,692.09,510.06,919.9,32.143
Australia,AUS,2020-06-30,759.3,581.49,970.57,41.857
Australia,AUS,2020-07-01,822.14,647.19,1027.09,48.857
Australia,AUS,2020-07-02,877.21,714.1,1078.82,57.0
Australia,AUS,2020-07-03,924.88,787.83,1120.86,63.286
Australia,AUS,2020-07-04,967.9,810.34,1163.02,94.286
Australia,AUS,2020-07-05,1010.26,847.0,1220.78,103.0
Australia,AUS,2020-07-06,1057.23,880.76,1284.58,109.0
Australia,AUS,2020-07-07,1107.67,936.18,1359.93,117.0
Australia,AUS,2020-07-08,1155.55,981.89,1393.52,131.571
Australia,AUS,2020-07-09,1205.45,1011.88,1464.89,138.0
Australia,AUS,2020-07-10,1262.79,1044.75,1539.47,151.143
Australia,AUS,2020-07-11,1324.58,1083.09,1620.21,157.714
Australia,AUS,2020-07-12,1386.45,1151.48,1669.0,170.143
Australia,AUS,2020-07-13,1440.73,1220.29,1723.81,192.571
Australia,AUS,2020-07-14,1486.37,1279.23,1764.5,199.143
Australia,AUS,2020-07-15,1528.66,1306.8,1785.53,213.714
Australia,AUS,2020-07-16,1561.44,1336.48,1818.28,229.857
Australia,AUS,2020-07-17,1583.05,1359.19,1832.92,250.143
Australia,AUS,2020-07-18,1601.17,1381.8,1885.66,268.0
Australia,AUS,2020-07-19,1614.2,1390.42,1912.53,269.714
Australia,AUS,2020-07-20,1624.13,1411.62,1912.45,286.429
Australia,AUS,2020-07-21,1632.1,1418.48,1904.16,298.429
Australia,AUS,2020-07-22,1629.3,1414.14,1892.05,311.0
Australia,AUS,2020-07-23,1619.55,1392.35,1872.19,343.0
Australia,AUS,2020-07-24,1607.09,1365.07,1863.72,356.571
Australia,AUS,2020-07-25,1586.27,1337.28,1840.53,337.143
Australia,AUS,2020-07-26,1562.6,1328.31,1824.57,358.429
Australia,AUS,2020-07-27,1543.79,1287.98,1808.21,371.571
Australia,AUS,2020-07-28,1529.12,1282.28,1794.01,409.429
Australia,AUS,2020-07-29,1516.12,1276.47,1790.5,410.857
Australia,AUS,2020-07-30,1500.94,1289.68,1770.32,383.714
Australia,AUS,2020-07-31,1474.14,1221.59,1754.84,428.143
Australia,AUS,2020-08-01,1428.48,1107.37,1705.94,472.857
Australia,AUS,2020-08-02,1365.64,1009.9,1690.69,476.0
Australia,AUS,2020-08-03,1285.2,947.5,1630.84,502.857
Australia,AUS,2020-08-04,1193.33,878.22,1563.4,483.286
Australia,AUS,2020-08-05,1104.81,818.84,1479.45,489.286
Australia,AUS,2020-08-06,1024.93,773.75,1370.44,551.714
Australia,AUS,2020-08-07,956.58,747.97,1232.12,508.429
Australia,AUS,2020-08-08,902.31,743.36,1135.93,481.0
Australia,AUS,2020-08-09,860.43,717.19,1054.69,488.0
Australia,AUS,2020-08-10,828.61,688.98,1001.71,451.571
Australia,AUS,2020-08-11,799.34,648.87,952.62,439.857
Australia,AUS,2020-08-12,768.52,618.56,913.64,426.286
Australia,AUS,2020-08-13,735.83,594.2,899.62,383.286
Australia,AUS,2020-08-14,699.13,544.87,866.78,356.571
Australia,AUS,2020-08-15,661.71,507.39,821.68,353.0
Australia,AUS,2020-08-16,624.37,478.21,773.17,333.857
Australia,AUS,2020-08-17,587.6,460.32,739.75,314.857
Australia,AUS,2020-08-18,556.6,444.79,704.15,308.857
Australia,AUS,2020-08-19,529.75,432.85,664.78,294.286
Australia,AUS,2020-08-20,506.04,414.81,608.4,266.571
Australia,AUS,2020-08-21,487.16,396.19,581.83,268.286
Australia,AUS,2020-08-22,468.47,388.09,563.41,237.714
Australia,AUS,2020-08-23,449.93,362.66,541.29,223.857
Australia,AUS,2020-08-24,432.33,344.78,524.8,217.714
Australia,AUS,2020-08-25,410.38,322.0,500.95,193.857
Australia,AUS,2020-08-26,387.56,294.36,480.11,182.857
Australia,AUS,2020-08-27,367.74,273.77,467.33,173.143
Australia,AUS,2020-08-28,348.17,275.08,440.59,155.143
Australia,AUS,2020-08-29,332.62,277.15,407.97,148.714
Australia,AUS,2020-08-30,323.58,274.38,386.22,135.0
Australia,AUS,2020-08-31,316.57,266.75,382.64,122.571
Australia,AUS,2020-09-01,309.72,249.45,374.92,118.571
Australia,AUS,2020-09-02,301.01,243.26,360.64,109.429
Australia,AUS,2020-09-03,287.81,222.03,354.41,102.571
Australia,AUS,2020-09-04,271.29,191.92,346.56,103.857
Australia,AUS,2020-09-05,251.72,168.17,327.59,98.286
Australia,AUS,2020-09-06,228.77,147.59,305.48,94.286
Australia,AUS,2020-09-07,204.4,128.02,295.99,87.0
Australia,AUS,2020-09-08,180.49,112.41,283.68,82.286
Australia,AUS,2020-09-09,158.09,100.12,251.23,79.286
Australia,AUS,2020-09-10,139.02,93.6,212.26,77.429
Australia,AUS,2020-09-11,125.66,93.36,183.45,66.286
Australia,AUS,2020-09-12,118.06,94.54,161.71,61.286
Australia,AUS,2020-09-13,114.3,94.17,139.43,57.143
Australia,AUS,2020-09-14,114.25,95.14,134.45,53.143
Australia,AUS,2020-09-15,116.88,97.74,141.89,52.857
Australia,AUS,2020-09-16,119.34,97.79,145.11,52.0
Australia,AUS,2020-09-17,120.48,102.55,143.98,44.857
Australia,AUS,2020-09-18,119.1,91.56,142.23,42.857
Australia,AUS,2020-09-19,115.11,80.27,141.81,42.286
Australia,AUS,2020-09-20,109.84,72.33,141.67,39.714
Australia,AUS,2020-09-21,102.28,68.32,132.39,35.286
Australia,AUS,2020-09-22,93.65,68.38,131.19,31.429
Australia,AUS,2020-09-23,86.81,66.97,128.78,29.143
Australia,AUS,2020-09-24,81.59,66.73,116.46,27.714
Australia,AUS,2020-09-25,78.64,66.49,94.48,24.286
Australia,AUS,2020-09-26,78.44,66.91,93.52,19.857
Australia,AUS,2020-09-27,79.53,68.0,97.42,18.714
Australia,AUS,2020-09-28,81.89,68.18,98.94,20.286
Australia,AUS,2020-09-29,84.86,70.08,101.89,18.857
Australia,AUS,2020-09-30,86.96,72.89,105.48,17.286
Australia,AUS,2020-10-01,88.08,75.06,104.38,15.0
Australia,AUS,2020-10-02,87.52,73.36,104.16,16.143
Australia,AUS,2020-10-03,84.73,66.52,103.45,16.143
Australia,AUS,2020-10-04,80.74,58.89,101.05,15.0
Australia,AUS,2020-10-05,75.84,54.72,96.49,13.714
Australia,AUS,2020-10-06,70.58,53.79,92.45,15.0
Australia,AUS,2020-10-07,66.41,53.21,86.68,15.857
Australia,AUS,2020-10-08,63.54,53.36,79.39,14.857
Australia,AUS,2020-10-09,61.95,53.56,73.66,15.714
Australia,AUS,2020-10-10,61.62,54.01,72.35,16.571
Australia,AUS,2020-10-11,61.76,53.01,72.67,17.571
Australia,AUS,2020-10-12,61.87,53.06,72.94,18.286
Australia,AUS,2020-10-13,61.89,53.23,73.21,19.571
Australia,AUS,2020-10-14,61.76,53.18,73.14,20.429
Australia,AUS,2020-10-15,61.49,52.9,72.92,22.714
Australia,AUS,2020-10-16,61.06,52.14,72.78,22.286
Australia,AUS,2020-10-17,60.57,51.58,72.4,20.286
Australia,AUS,2020-10-18,60.16,51.41,71.8,19.857
Australia,AUS,2020-10-19,59.78,51.22,70.9,18.0
Australia,AUS,2020-10-20,59.43,50.82,70.21,16.143
Australia,AUS,2020-10-21,59.18,50.51,70.05,16.143
Australia,AUS,2020-10-22,59.02,50.43,69.85,14.714
Australia,AUS,2020-10-23,58.88,50.28,69.45,14.857
Australia,AUS,2020-10-24,58.81,50.03,69.44,16.143
Australia,AUS,2020-10-25,58.85,49.99,69.5,16.571
Australia,AUS,2020-10-26,58.88,49.99,69.47,18.571
Australia,AUS,2020-10-27,58.91,49.91,69.46,18.286
Australia,AUS,2020-10-28,59.16,50.5,71.45,15.857
Australia,AUS,2020-10-29,59.7,51.53,73.4,15.714
Australia,AUS,2020-10-30,60.57,51.82,75.06,14.714
Australia,AUS,2020-10-31,62.23,51.55,77.0,14.0
Australia,AUS,2020-11-01,64.53,51.79,78.67,13.0
Australia,AUS,2020-11-02,66.66,54.09,80.66,10.714
Australia,AUS,2020-11-03,68.39,58.23,81.84,10.714
Australia,AUS,2020-11-04,69.36,57.98,82.78,9.857
Australia,AUS,2020-11-05,69.26,56.04,82.76,9.714
Australia,AUS,2020-11-06,68.45,54.64,80.19,9.143
Australia,AUS,2020-11-07,66.8,52.8,79.5,9.0
Australia,AUS,2020-11-08,64.49,51.01,79.15,8.857
Australia,AUS,2020-11-09,62.41,50.08,77.61,9.0
Australia,AUS,2020-11-10,60.73,49.94,75.17,9.429
Australia,AUS,2020-11-11,59.56,49.91,71.48,9.714
Australia,AUS,2020-11-12,59.14,49.96,70.7,9.143
Australia,AUS,2020-11-13,59.16,49.86,70.85,9.286
Australia,AUS,2020-11-14,59.29,50.07,71.08,8.286
Australia,AUS,2020-11-15,59.4,50.14,71.34,8.429
Australia,AUS,2020-11-16,59.43,49.94,71.57,9.571
Australia,AUS,2020-11-17,59.38,49.7,71.67,11.714
Australia,AUS,2020-11-18,59.25,49.59,71.47,11.143
Australia,AUS,2020-11-19,59.06,49.44,71.33,13.0
Australia,AUS,2020-11-20,58.85,49.21,71.19,12.286
Australia,AUS,2020-11-21,58.65,48.99,71.0,12.286
Australia,AUS,2020-11-22,58.49,48.85,70.83,13.714
Australia,AUS,2020-11-23,58.37,48.75,70.77,13.714
Australia,AUS,2020-11-24,58.38,48.7,70.81,12.143
Australia,AUS,2020-11-25,58.72,49.32,71.5,13.143
Australia,AUS,2020-11-26,59.46,50.13,73.36,11.0
Australia,AUS,2020-11-27,60.43,50.82,75.68,11.857
Australia,AUS,2020-11-28,61.81,50.82,76.14,12.143
Australia,AUS,2020-11-29,63.5,50.82,79.05,11.143
Australia,AUS,2020-11-30,64.91,52.64,80.29,10.286
Australia,AUS,2020-12-01,66.01,55.36,81.56,9.857
Australia,AUS,2020-12-02,66.96,54.67,81.94,9.143
Australia,AUS,2020-12-03,68.04,53.49,82.22,9.857
Australia,AUS,2020-12-04,69.73,55.32,85.03,10.286
Australia,AUS,2020-12-05,71.67,56.25,86.07,10.714
Australia,AUS,2020-12-06,73.38,58.36,87.55,10.143
Australia,AUS,2020-12-07,75.08,61.66,88.81,10.286
Australia,AUS,2020-12-08,76.5,64.86,89.79,9.714
Australia,AUS,2020-12-09,77.24,66.2,91.25,10.714
Australia,AUS,2020-12-10,77.18,65.44,91.56,10.0
Australia,AUS,2020-12-11,76.16,63.23,91.28,8.714
Australia,AUS,2020-12-12,74.35,60.8,89.97,9.0
Australia,AUS,2020-12-13,72.32,58.37,87.59,9.857
Australia,AUS,2020-12-14,70.8,58.49,85.5,9.429
Australia,AUS,2020-12-15,70.05,59.08,83.08,9.571
Australia,AUS,2020-12-16,70.0,58.94,83.37,8.571
Australia,AUS,2020-12-17,70.51,59.43,84.01,9.429
Australia,AUS,2020-12-18,71.22,60.24,84.79,10.286
Australia,AUS,2020-12-19,71.74,60.61,85.56,11.714
Australia,AUS,2020-12-20,72.05,60.6,85.86,14.714
Australia,AUS,2020-12-21,71.93,59.96,85.74,20.0
Australia,AUS,2020-12-22,71.17,58.84,84.89,22.714
Australia,AUS,2020-12-23,70.01,57.24,83.97,24.571
Australia,AUS,2020-12-24,68.49,55.77,82.74,25.571
Australia,AUS,2020-12-25,66.78,54.0,80.9,27.143
Australia,AUS,2020-12-26,65.38,52.92,78.76,24.0
Australia,AUS,2020-12-27,64.36,52.66,77.58,24.0
Australia,AUS,2020-12-28,63.57,52.39,77.37,20.143
Australia,AUS,2020-12-29,63.08,51.96,77.06,19.857
Australia,AUS,2020-12-30,62.79,51.73,76.75,18.714
Australia,AUS,2020-12-31,62.54,51.6,76.63,20.429
Australia,AUS,2021-01-01,62.28,51.39,76.56,23.571
Australia,AUS,2021-01-02,61.96,51.07,76.35,28.571
Australia,AUS,2021-01-03,61.53,50.47,75.89,26.714
Australia,AUS,2021-01-04,61.05,49.85,75.28,27.429
Australia,AUS,2021-01-05,60.61,49.56,74.85,26.0
Australia,AUS,2021-01-06,60.2,49.39,74.68,26.571
Australia,AUS,2021-01-07,59.87,49.09,74.49,23.714
Australia,AUS,2021-01-08,59.66,48.9,74.28,20.571
Australia,AUS,2021-01-09,59.52,48.81,74.14,17.143
Australia,AUS,2021-01-10,59.43,48.67,74.11,16.0
Australia,AUS,2021-01-11,59.39,48.61,74.1,15.714
Australia,AUS,2021-01-12,59.4,48.6,74.1,16.429
Australia,AUS,2021-01-13,59.41,48.6,74.09,16.286
Australia,AUS,2021-01-14,59.42,48.59,74.08,15.857
Australia,AUS,2021-01-15,59.43,48.6,74.07,14.0
Australia,AUS,2021-01-16,59.46,48.65,74.07,15.286
Australia,AUS,2021-01-17,59.5,48.7,74.13,16.143
Australia,AUS,2021-01-18,59.55,48.72,74.18,15.286
Australia,AUS,2021-01-19,59.61,48.77,74.21,13.714
Australia,AUS,2021-01-20,59.68,48.85,74.26,12.857
Australia,AUS,2021-01-21,59.75,48.92,74.34,13.143
Australia,AUS,2021-01-22,59.84,49.0,74.43,12.286
Australia,AUS,2021-01-23,59.95,49.11,74.52,10.286
Australia,AUS,2021-01-24,60.09,49.28,74.64,8.286
Australia,AUS,2021-01-25,60.27,49.51,74.84,8.0
Australia,AUS,2021-01-26,60.52,49.83,75.11,7.143
Australia,AUS,2021-01-27,60.86,50.26,75.46,6.571
Australia,AUS,2021-01-28,61.24,50.64,75.91,6.286
Australia,AUS,2021-01-29,61.59,50.83,76.32,6.429
Australia,AUS,2021-01-30,61.85,50.85,76.53,6.429
Australia,AUS,2021-01-31,62.0,50.78,76.55,6.429
Australia,AUS,2021-02-01,62.01,50.67,76.48,5.857
Australia,AUS,2021-02-02,61.88,50.62,76.32,6.286
Australia,AUS,2021-02-03,61.66,50.42,76.02,6.143
Australia,AUS,2021-02-04,61.39,50.14,75.71,6.286
Australia,AUS,2021-02-05,61.1,49.9,75.35,6.0
Australia,AUS,2021-02-06,60.83,49.69,75.04,6.0
Australia,AUS,2021-02-07,60.59,49.52,74.82,5.571
Australia,AUS,2021-02-08,60.39,49.32,74.67,5.571
Australia,AUS,2021-02-09,60.24,49.18,74.6,5.143
Australia,AUS,2021-02-10,60.12,49.08,74.53,6.0
Australia,AUS,2021-02-11,60.03,48.96,74.45,5.857
Australia,AUS,2021-02-12,59.97,48.9,74.42,6.286
Australia,AUS,2021-02-13,59.93,48.88,74.42,6.286
Australia,AUS,2021-02-14,59.91,48.84,74.42,6.857
Australia,AUS,2021-02-15,59.9,48.82,74.41,6.143
Australia,AUS,2021-02-16,59.88,48.82,74.37,6.429
Australia,AUS,2021-02-17,59.82,48.78,74.23,5.714
Australia,AUS,2021-02-18,59.73,48.7,74.08,4.714
Australia,AUS,2021-02-19,59.65,48.66,74.03,4.571
Australia,AUS,2021-02-20,59.58,48.62,74.03,4.0
Australia,AUS,2021-02-21,59.53,48.54,74.02,4.0
Australia,AUS,2021-02-22,59.51,48.49,74.02,4.286
Australia,AUS,2021-02-23,59.52,48.49,74.04,4.571
Australia,AUS,2021-02-24,59.55,48.52,74.12,4.0
Australia,AUS,2021-02-25,59.62,48.65,74.26,5.0
Australia,AUS,2021-02-26,59.7,48.73,74.36,5.714
Australia,AUS,2021-02-27,59.78,48.77,74.4,6.429
Australia,AUS,2021-02-28,59.88,48.86,74.49,6.286
Australia,AUS,2021-03-01,59.98,48.98,74.63,6.857
Australia,AUS,2021-03-02,60.06,49.04,74.71,7.0
Australia,AUS,2021-03-03,60.1,48.99,74.64,8.143
Australia,AUS,2021-03-04,60.08,49.0,74.5,7.857
Australia,AUS,2021-03-05,60.03,49.0,74.4,8.857
Australia,AUS,2021-03-06,59.96,48.98,74.35,9.286
Australia,AUS,2021-03-07,59.86,48.9,74.26,9.571
Australia,AUS,2021-03-08,59.75,48.78,74.12,9.714
Australia,AUS,2021-03-09,59.67,48.7,74.04,10.714
Australia,AUS,2021-03-10,59.7,48.69,74.11,11.286
Australia,AUS,2021-03-11,60.1,49.26,74.29,12.571
Australia,AUS,2021-03-12,60.97,50.26,75.24,11.714
Australia,AUS,2021-03-13,62.24,51.16,77.33,11.714
Australia,AUS,2021-03-14,64.14,51.45,80.7,11.429
Australia,AUS,2021-03-15,66.46,52.05,84.25,12.0
Australia,AUS,2021-03-16,68.46,54.31,86.62,10.857
Australia,AUS,2021-03-17,69.95,57.78,88.11,11.143
Australia,AUS,2021-03-18,70.63,57.12,88.17,10.857
Australia,AUS,2021-03-19,70.28,54.7,88.1,11.571
Australia,AUS,2021-03-20,69.2,52.38,87.65,11.429
Australia,AUS,2021-03-21,67.4,51.0,84.38,11.286
Australia,AUS,2021-03-22,65.14,50.13,81.62,10.857
Australia,AUS,2021-03-23,63.17,49.69,79.55,10.571
Australia,AUS,2021-03-24,61.68,49.52,76.61,9.571
Australia,AUS,2021-03-25,60.74,49.46,74.83,8.857
Australia,AUS,2021-03-26,60.37,49.43,74.85,8.143
Australia,AUS,2021-03-27,60.31,49.28,74.95,8.571
Australia,AUS,2021-03-28,60.36,49.3,75.11,9.143
Australia,AUS,2021-03-29,60.52,49.39,75.31,10.286
Australia,AUS,2021-03-30,60.73,49.54,75.54,12.143
Australia,AUS,2021-03-31,60.86,49.65,75.7,12.0
Australia,AUS,2021-04-01,61.01,49.81,75.97,13.429
Australia,AUS,2021-04-02,61.19,50.02,76.25,13.571
Australia,AUS,2021-04-03,61.33,50.06,76.32,12.714
Australia,AUS,2021-04-04,61.42,50.08,76.29,12.571
Australia,AUS,2021-04-05,61.49,50.21,76.32,11.286
Australia,AUS,2021-04-06,61.59,50.33,76.53,9.857
Australia,AUS,2021-04-07,61.77,50.5,76.85,10.714
Australia,AUS,2021-04-08,62.02,50.7,77.13,9.0
Australia,AUS,2021-04-09,62.29,50.91,77.41,7.857
Australia,AUS,2021-04-10,62.58,51.16,77.73,7.857
Australia,AUS,2021-04-11,62.81,51.35,77.99,8.143
Australia,AUS,2021-04-12,62.96,51.44,78.11,8.857
Australia,AUS,2021-04-13,63.07,51.56,78.11,10.286
Australia,AUS,2021-04-14,63.16,51.67,78.08,10.286
Australia,AUS,2021-04-15,63.23,51.76,78.12,12.0
Australia,AUS,2021-04-16,63.25,51.82,78.19,13.429
Australia,AUS,2021-04-17,63.22,51.77,78.25,15.571
Australia,AUS,2021-04-18,63.13,51.68,78.24,16.286
Australia,AUS,2021-04-19,63.08,51.6,78.25,17.714
Australia,AUS,2021-04-20,63.09,51.59,78.36,17.429
Australia,AUS,2021-04-21,63.18,51.66,78.51,18.143
Australia,AUS,2021-04-22,63.34,51.77,78.67,19.0
Australia,AUS,2021-04-23,63.48,51.88,78.76,22.143
Australia,AUS,2021-04-24,63.57,51.98,78.86,21.857
Australia,AUS,2021-04-25,63.64,52.06,79.01,21.0
Australia,AUS,2021-04-26,63.67,52.08,79.14,21.714
Australia,AUS,2021-04-27,63.73,52.09,79.25,23.714
Australia,AUS,2021-04-28,63.88,52.19,79.42,24.429
