Entity,Code,Day,"Daily new estimated infections of COVID-19 (ICL, mean)","Daily new estimated infections of COVID-19 (IHME, mean)","Daily new estimated infections of COVID-19 (YYG, mean)","Daily new estimated infections of COVID-19 (LSHTM, median)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)"
Denmark,DNK,2020-08-19,529.57,193.32,420.0,,128.0
Denmark,DNK,2020-08-20,527.14,207.58,446.0,,124.286
Denmark,DNK,2020-08-21,524.7,224.35,472.0,,120.286
Denmark,DNK,2020-08-22,522.28,243.34,498.0,,106.857
Denmark,DNK,2020-08-23,519.92,265.27,524.0,,102.571
Denmark,DNK,2020-08-24,517.63,290.74,551.0,,98.286
Denmark,DNK,2020-08-25,515.42,319.61,577.0,,93.857
Denmark,DNK,2020-08-26,513.28,349.61,602.0,,89.286
Denmark,DNK,2020-08-27,511.21,378.61,628.0,,85.286
Denmark,DNK,2020-08-28,538.58,405.97,653.0,,81.571
Denmark,DNK,2020-08-29,597.79,429.12,678.0,,81.857
Denmark,DNK,2020-08-30,667.47,446.98,702.0,,80.286
Denmark,DNK,2020-08-31,741.12,461.34,726.0,,83.429
Denmark,DNK,2020-09-01,818.38,472.21,750.0,,84.0
Denmark,DNK,2020-09-02,900.78,482.26,773.0,,86.286
Denmark,DNK,2020-09-03,989.98,497.18,797.0,,94.0
Denmark,DNK,2020-09-04,1087.4,518.17,820.0,,106.714
Denmark,DNK,2020-09-05,1194.23,544.01,844.0,,121.0
Denmark,DNK,2020-09-06,1311.51,573.89,868.0,,136.714
Denmark,DNK,2020-09-07,1440.29,606.65,893.0,,141.714
Denmark,DNK,2020-09-08,1581.66,640.75,917.0,,161.143
Denmark,DNK,2020-09-09,1736.83,672.13,942.0,,181.714
Denmark,DNK,2020-09-10,1907.07,695.21,967.0,,201.714
Denmark,DNK,2020-09-11,1988.95,709.2,993.0,,221.429
Denmark,DNK,2020-09-12,1964.56,716.09,1018.0,,238.429
Denmark,DNK,2020-09-13,1908.31,715.27,1043.0,,260.143
Denmark,DNK,2020-09-14,1849.94,707.94,1067.0,,286.714
Denmark,DNK,2020-09-15,1798.21,698.16,1091.0,,303.429
Denmark,DNK,2020-09-16,1753.65,687.35,1115.0,,316.429
Denmark,DNK,2020-09-17,1714.41,675.07,1137.0,,333.286
Denmark,DNK,2020-09-18,1678.57,663.1,1158.0,,352.714
Denmark,DNK,2020-09-19,1644.76,654.32,1178.0,,375.857
Denmark,DNK,2020-09-20,1612.19,649.23,1196.0,,411.286
Denmark,DNK,2020-09-21,1580.43,645.51,1213.0,,430.714
Denmark,DNK,2020-09-22,1549.3,642.05,1229.0,,440.857
Denmark,DNK,2020-09-23,1518.73,640.15,1244.0,,461.143
Denmark,DNK,2020-09-24,1488.7,640.6,1257.0,,488.143
Denmark,DNK,2020-09-25,1490.3,642.59,1269.0,,503.286
Denmark,DNK,2020-09-26,1524.81,646.44,1281.0,,535.286
Denmark,DNK,2020-09-27,1567.76,653.4,1292.0,,539.571
Denmark,DNK,2020-09-28,1610.35,662.23,1302.0,,533.143
Denmark,DNK,2020-09-29,1650.63,672.39,1312.0,,535.571
Denmark,DNK,2020-09-30,1689.09,682.59,1322.0,,523.571
Denmark,DNK,2020-10-01,1726.65,691.05,1332.0,,520.143
Denmark,DNK,2020-10-02,1764.05,699.45,1342.0,,497.143
Denmark,DNK,2020-10-03,1801.77,705.91,1352.0,,476.857
Denmark,DNK,2020-10-04,1840.03,710.34,1364.0,,441.286
Denmark,DNK,2020-10-05,1878.94,719.57,,,434.714
Denmark,DNK,2020-10-06,1918.53,734.4,,,426.429
Denmark,DNK,2020-10-07,1958.83,755.9,,,416.429
Denmark,DNK,2020-10-08,1999.82,789.0,,,387.429
Denmark,DNK,2020-10-09,2002.76,831.3,,,394.286
Denmark,DNK,2020-10-10,1964.26,881.47,,,386.571
Denmark,DNK,2020-10-11,1914.29,937.23,,,397.143
Denmark,DNK,2020-10-12,1864.58,990.0,,,391.714
Denmark,DNK,2020-10-13,1818.43,1037.68,,,393.429
Denmark,DNK,2020-10-14,1775.88,1080.91,,,388.857
Denmark,DNK,2020-10-15,1736.08,1116.86,,,411.857
Denmark,DNK,2020-10-16,1698.2,1214.96,,,409.571
Denmark,DNK,2020-10-17,1661.67,1161.28,,,400.429
Denmark,DNK,2020-10-18,1626.13,1182.48,,,408.429
Denmark,DNK,2020-10-19,1591.41,1209.28,,,424.286
Denmark,DNK,2020-10-20,1557.42,1239.86,,,433.286
Denmark,DNK,2020-10-21,1524.13,1271.44,,,467.429
Denmark,DNK,2020-10-22,1491.52,1299.29,,,487.143
Denmark,DNK,2020-10-23,1477.85,1321.28,,,534.286
Denmark,DNK,2020-10-24,1483.74,1338.91,,,597.286
Denmark,DNK,2020-10-25,1494.6,1349.91,,,638.571
Denmark,DNK,2020-10-26,1505.06,1354.76,,,709.143
Denmark,DNK,2020-10-27,1513.84,1357.48,,,795.429
Denmark,DNK,2020-10-28,1521.16,1360.96,,,826.286
Denmark,DNK,2020-10-29,1527.53,1368.49,,,881.571
Denmark,DNK,2020-10-30,1533.39,1380.99,,,895.857
Denmark,DNK,2020-10-31,1539.02,1400.52,,,943.286
Denmark,DNK,2020-11-01,1544.56,1430.6,,,991.429
Denmark,DNK,2020-11-02,1550.09,1468.63,,,991.857
Denmark,DNK,2020-11-03,1555.62,1509.62,,,975.571
Denmark,DNK,2020-11-04,1561.15,1549.09,,,1062.429
Denmark,DNK,2020-11-05,1566.7,1582.4,,,1050.857
Denmark,DNK,2020-11-06,1553.23,1608.02,,,1102.714
Denmark,DNK,2020-11-07,1519.66,1624.71,,,1136.429
Denmark,DNK,2020-11-08,1480.82,1633.0,,,1125.571
Denmark,DNK,2020-11-09,1442.52,1634.86,,,1117.429
Denmark,DNK,2020-11-10,1406.36,1629.72,,,1093.0
Denmark,DNK,2020-11-11,1372.37,1622.28,,,1052.0
Denmark,DNK,2020-11-12,1340.1,1619.75,,,1060.286
Denmark,DNK,2020-11-13,1309.13,1622.36,,,1030.0
Denmark,DNK,2020-11-14,1279.16,1629.99,,,974.286
Denmark,DNK,2020-11-15,1250.01,1645.38,,,978.286
Denmark,DNK,2020-11-16,1221.58,1671.39,,,1002.143
Denmark,DNK,2020-11-17,1193.82,1714.58,,,1062.714
Denmark,DNK,2020-11-18,1166.7,1782.76,,,1084.714
Denmark,DNK,2020-11-19,1140.2,1878.45,,,1122.286
Denmark,DNK,2020-11-20,1185.8,1999.15,,,1163.143
Denmark,DNK,2020-11-21,1307.54,2140.4,,,1194.571
Denmark,DNK,2020-11-22,1451.78,2293.79,,,1222.429
Denmark,DNK,2020-11-23,1601.72,2456.06,,,1192.714
Denmark,DNK,2020-11-24,1755.89,2635.49,,,1189.0
Denmark,DNK,2020-11-25,1917.39,2826.43,,,1210.0
Denmark,DNK,2020-11-26,2089.76,3016.16,,,1199.429
Denmark,DNK,2020-11-27,2275.79,3207.56,,,1184.286
Denmark,DNK,2020-11-28,2477.56,3403.15,,,1193.714
Denmark,DNK,2020-11-29,2696.77,3607.29,,,1245.571
Denmark,DNK,2020-11-30,2934.94,3821.37,,,1266.714
Denmark,DNK,2020-12-01,3193.6,4038.24,,,1261.0
Denmark,DNK,2020-12-02,3474.36,4261.02,,,1275.429
Denmark,DNK,2020-12-03,3778.89,4475.03,,,1333.0
Denmark,DNK,2020-12-04,4037.12,4655.06,,,1392.143
Denmark,DNK,2020-12-05,4237.78,4799.45,,,1432.143
Denmark,DNK,2020-12-06,4431.04,4894.39,,,1500.571
Denmark,DNK,2020-12-07,4635.24,4931.98,,,1607.286
Denmark,DNK,2020-12-08,4854.62,4927.66,,,1738.286
Denmark,DNK,2020-12-09,5088.54,4885.45,,,1835.714
Denmark,DNK,2020-12-10,5335.46,4820.14,,,1974.571
Denmark,DNK,2020-12-11,5594.22,4752.26,,,2192.714
Denmark,DNK,2020-12-12,5864.2,4692.22,,,2403.0
Denmark,DNK,2020-12-13,6145.22,4649.22,,,2608.286
Denmark,DNK,2020-12-14,6437.3,4616.51,,,2736.429
Denmark,DNK,2020-12-15,6740.58,4585.54,,,2920.857
Denmark,DNK,2020-12-16,7055.19,4550.8,,,3041.143
Denmark,DNK,2020-12-17,7381.25,4502.26,,,3203.143
Denmark,DNK,2020-12-18,7468.47,4439.61,,,3332.0
Denmark,DNK,2020-12-19,7288.72,4365.68,,,3536.714
Denmark,DNK,2020-12-20,7031.74,4289.07,,,3498.571
Denmark,DNK,2020-12-21,6773.02,4224.79,,,3525.143
Denmark,DNK,2020-12-22,6534.81,4172.03,,,3505.286
Denmark,DNK,2020-12-23,6318.37,4121.16,,,3441.143
Denmark,DNK,2020-12-24,6118.92,4074.49,,,3384.714
Denmark,DNK,2020-12-25,5931.45,4029.16,,,3218.286
Denmark,DNK,2020-12-26,5752.38,3960.33,,,3001.714
Denmark,DNK,2020-12-27,5579.57,3857.42,,,2794.429
Denmark,DNK,2020-12-28,5411.86,3724.16,,,2701.857
Denmark,DNK,2020-12-29,5248.72,3556.59,,,2599.143
Denmark,DNK,2020-12-30,5089.91,3369.13,,,2610.286
Denmark,DNK,2020-12-31,4935.32,3178.78,,,2536.857
Denmark,DNK,2021-01-01,4810.01,2995.39,,,2448.286
Denmark,DNK,2021-01-02,4714.26,2841.15,,,2371.0
Denmark,DNK,2021-01-03,4627.29,2719.85,,,2339.143
Denmark,DNK,2021-01-04,4541.35,2617.92,,,2194.857
Denmark,DNK,2021-01-05,4454.53,2528.07,,,2137.286
Denmark,DNK,2021-01-06,4367.04,2437.99,,,2047.429
Denmark,DNK,2021-01-07,4279.58,2342.34,,,1966.429
Denmark,DNK,2021-01-08,4192.78,2245.97,,,1908.286
Denmark,DNK,2021-01-09,4107.01,2143.16,,,1795.286
Denmark,DNK,2021-01-10,4022.49,2033.16,,,1814.143
Denmark,DNK,2021-01-11,3939.31,1925.37,,,1825.0
Denmark,DNK,2021-01-12,3857.49,1821.04,,,1705.429
Denmark,DNK,2021-01-13,3777.04,1723.67,,,1574.571
Denmark,DNK,2021-01-14,3697.92,1637.78,,,1452.0
Denmark,DNK,2021-01-15,3599.42,1553.87,,,1403.429
Denmark,DNK,2021-01-16,3480.48,1468.38,,,1260.429
Denmark,DNK,2021-01-17,3357.98,1383.37,,,1137.0
Denmark,DNK,2021-01-18,3238.62,1299.01,,,1086.0
Denmark,DNK,2021-01-19,3124.32,1221.58,,,1024.286
Denmark,DNK,2021-01-20,3015.16,1151.56,,,974.0
Denmark,DNK,2021-01-21,2910.63,1085.79,,,906.571
Denmark,DNK,2021-01-22,2810.18,1028.67,,,800.571
Denmark,DNK,2021-01-23,2713.39,981.42,,,816.857
Denmark,DNK,2021-01-24,2619.99,943.08,,,816.857
Denmark,DNK,2021-01-25,2529.77,910.76,,,797.571
Denmark,DNK,2021-01-26,2442.62,876.11,,,771.571
Denmark,DNK,2021-01-27,2358.47,839.43,,,761.286
Denmark,DNK,2021-01-28,2277.3,806.72,,,719.286
Denmark,DNK,2021-01-29,2199.02,777.77,,,671.143
Denmark,DNK,2021-01-30,2123.56,750.57,,,660.857
Denmark,DNK,2021-01-31,2050.84,724.35,,,596.857
Denmark,DNK,2021-02-01,1980.75,700.57,,,543.0
Denmark,DNK,2021-02-02,1913.2,683.84,,,523.429
Denmark,DNK,2021-02-03,1848.1,674.86,,,487.0
Denmark,DNK,2021-02-04,1785.35,670.1,,,463.143
Denmark,DNK,2021-02-05,1724.88,667.32,,,481.714
Denmark,DNK,2021-02-06,1666.59,665.49,,,444.143
Denmark,DNK,2021-02-07,1610.41,663.43,,,441.571
Denmark,DNK,2021-02-08,1556.26,661.57,,,449.857
Denmark,DNK,2021-02-09,1504.06,660.5,,,441.571
Denmark,DNK,2021-02-10,1453.74,658.93,,,437.143
Denmark,DNK,2021-02-11,1405.23,657.88,,,443.571
Denmark,DNK,2021-02-12,1358.46,658.66,,,432.857
Denmark,DNK,2021-02-13,1313.37,659.49,,,431.429
Denmark,DNK,2021-02-14,1269.89,661.78,,,411.571
Denmark,DNK,2021-02-15,1227.96,665.92,,,391.571
Denmark,DNK,2021-02-16,1187.54,667.09,,,392.571
Denmark,DNK,2021-02-17,1148.54,665.67,,,395.143
Denmark,DNK,2021-02-18,1110.94,664.59,,,387.143
Denmark,DNK,2021-02-19,1074.66,662.45,,,385.714
Denmark,DNK,2021-02-20,1039.65,659.33,,,403.429
Denmark,DNK,2021-02-21,1005.88,657.28,,,430.571
Denmark,DNK,2021-02-22,973.29,657.71,,,459.286
Denmark,DNK,2021-02-23,941.83,661.87,,,461.143
Denmark,DNK,2021-02-24,911.46,668.99,,,481.857
Denmark,DNK,2021-02-25,882.15,677.36,,,497.429
Denmark,DNK,2021-02-26,853.84,687.7,,,516.714
Denmark,DNK,2021-02-27,826.5,700.04,,,513.571
Denmark,DNK,2021-02-28,800.1,712.17,,,521.571
Denmark,DNK,2021-03-01,774.59,722.94,,,516.857
Denmark,DNK,2021-03-02,749.96,733.26,,,523.571
Denmark,DNK,2021-03-03,726.16,743.35,,,524.0
Denmark,DNK,2021-03-04,703.16,751.09,,,531.286
Denmark,DNK,2021-03-05,680.93,759.45,,,519.429
Denmark,DNK,2021-03-06,659.46,772.95,,,531.429
Denmark,DNK,2021-03-07,638.7,784.21,,,513.429
Denmark,DNK,2021-03-08,618.64,790.68,,,520.571
Denmark,DNK,2021-03-09,599.26,799.84,,,510.286
Denmark,DNK,2021-03-10,580.52,807.36,,,509.571
Denmark,DNK,2021-03-11,562.4,811.16,,,714.286
Denmark,DNK,2021-03-12,544.89,817.77,,,763.143
Denmark,DNK,2021-03-13,527.97,826.93,,,767.571
Denmark,DNK,2021-03-14,511.61,842.29,,,798.857
Denmark,DNK,2021-03-15,495.8,864.03,,,802.857
Denmark,DNK,2021-03-16,480.51,882.34,,,829.571
Denmark,DNK,2021-03-17,465.74,897.0,,,864.429
Denmark,DNK,2021-03-18,451.47,910.66,,,690.143
Denmark,DNK,2021-03-19,437.67,912.74,,,679.286
Denmark,DNK,2021-03-20,424.34,901.46,,,707.571
Denmark,DNK,2021-03-21,411.46,885.84,,,704.286
Denmark,DNK,2021-03-22,399.01,867.76,,,720.857
Denmark,DNK,2021-03-23,386.97,849.22,,,743.714
Denmark,DNK,2021-03-24,375.34,836.22,,,741.286
Denmark,DNK,2021-03-25,364.09,830.27,,,752.143
Denmark,DNK,2021-03-26,353.84,829.67,,,704.143
Denmark,DNK,2021-03-27,344.57,830.96,,,696.429
Denmark,DNK,2021-03-28,335.77,828.6,,,671.571
Denmark,DNK,2021-03-29,327.26,821.53,,,715.429
Denmark,DNK,2021-03-30,318.98,812.99,,,702.143
Denmark,DNK,2021-03-31,310.94,804.32,,,767.286
Denmark,DNK,2021-04-01,303.15,798.15,,,744.143
Denmark,DNK,2021-04-02,295.61,800.72,,,774.429
Denmark,DNK,2021-04-03,288.33,811.35,,,762.857
Denmark,DNK,2021-04-04,281.31,823.9,,,809.857
Denmark,DNK,2021-04-05,274.53,836.45,,,757.857
Denmark,DNK,2021-04-06,268.01,846.13,,,729.286
Denmark,DNK,2021-04-07,261.72,849.1,,,630.714
Denmark,DNK,2021-04-08,255.67,843.68,,,618.286
Denmark,DNK,2021-04-09,270.17,827.66,,,626.143
Denmark,DNK,2021-04-10,306.58,803.87,,,624.714
Denmark,DNK,2021-04-11,350.46,780.57,,,626.143
Denmark,DNK,2021-04-12,398.09,761.61,,,639.143
Denmark,DNK,2021-04-13,450.05,749.31,,,644.143
Denmark,DNK,2021-04-14,508.15,744.56,,,650.286
Denmark,DNK,2021-04-15,574.33,743.32,,,657.286
Denmark,DNK,2021-04-16,650.43,746.76,,,668.857
Denmark,DNK,2021-04-17,738.33,753.2,,,665.857
Denmark,DNK,2021-04-18,840.02,759.12,,,661.429
Denmark,DNK,2021-04-19,957.8,764.85,,,691.571
Denmark,DNK,2021-04-20,1094.31,771.33,,,724.0
Denmark,DNK,2021-04-21,1252.62,781.27,,,742.286
Denmark,DNK,2021-04-22,1436.32,794.93,,,762.286
Denmark,DNK,2021-04-23,1560.62,809.79,,,775.857
Denmark,DNK,2021-04-24,1606.08,828.39,,,779.429
Denmark,DNK,2021-04-25,1630.49,849.19,,,754.143
Denmark,DNK,2021-04-26,1655.84,870.4,,,712.714
Denmark,DNK,2021-04-27,1687.78,898.62,,,707.429
Denmark,DNK,2021-04-28,1725.96,931.04,,,697.857
Denmark,DNK,2021-04-29,1768.6,958.43,,,702.429
Denmark,DNK,2021-04-30,1814.18,982.11,,,684.714
Denmark,DNK,2021-05-01,1861.75,996.04,,,709.286
Denmark,DNK,2021-05-02,1910.8,999.07,,,719.286
Denmark,DNK,2021-05-03,1961.15,995.28,,,755.714
Denmark,DNK,2021-05-04,2012.72,981.54,,,763.857
Denmark,DNK,2021-05-05,2065.53,964.13,,,790.286
Denmark,DNK,2021-05-06,2119.6,949.41,,,812.143
Denmark,DNK,2021-05-07,2144.5,933.59,,,846.857
Denmark,DNK,2021-05-08,2137.2,920.28,,,868.143
Denmark,DNK,2021-05-09,2120.71,912.49,,,876.714
Denmark,DNK,2021-05-10,2103.67,907.73,,,877.714
Denmark,DNK,2021-05-11,2088.28,909.44,,,902.143
Denmark,DNK,2021-05-12,2074.4,916.61,,,918.714
Denmark,DNK,2021-05-13,2061.32,923.52,,,955.571
Denmark,DNK,2021-05-14,2048.42,932.1,,,1004.571
Denmark,DNK,2021-05-15,2035.28,943.17,,,994.286
Denmark,DNK,2021-05-16,2021.7,953.33,,,1051.0
Denmark,DNK,2021-05-17,2007.58,958.56,,,1063.857
Denmark,DNK,2021-05-18,1992.89,956.51,,,1050.143
Denmark,DNK,2021-05-19,1977.63,946.03,,,1048.857
Denmark,DNK,2021-05-20,1961.83,925.6,,,1026.286
Denmark,DNK,2021-05-21,1917.0,897.12,,,1006.143
Denmark,DNK,2021-05-22,1841.86,862.96,,,1063.286
Denmark,DNK,2021-05-23,1759.56,824.21,,,1017.143
Denmark,DNK,2021-05-24,1679.25,785.66,,,998.714
Denmark,DNK,2021-05-25,1603.59,748.34,,,1010.571
Denmark,DNK,2021-05-26,1532.73,707.81,,,993.143
Denmark,DNK,2021-05-27,1466.16,669.73,,,991.0
Denmark,DNK,2021-05-28,1403.24,635.93,,,977.429
Denmark,DNK,2021-05-29,1343.42,602.84,,,926.857
Denmark,DNK,2021-05-30,1286.33,572.11,,,967.857
Denmark,DNK,2021-05-31,1231.69,541.55,,,984.143
Denmark,DNK,2021-06-01,1179.34,509.97,,,973.429
Denmark,DNK,2021-06-02,1129.13,482.21,,,989.714
Denmark,DNK,2021-06-03,1080.97,458.24,,,972.714
Denmark,DNK,2021-06-04,1108.33,436.17,,,959.714
Denmark,DNK,2021-06-05,1213.22,415.7,,,949.714
Denmark,DNK,2021-06-06,1338.65,395.93,,,886.0
Denmark,DNK,2021-06-07,1466.52,375.7,,,872.286
Denmark,DNK,2021-06-08,1594.8,354.85,,,817.286
Denmark,DNK,2021-06-09,1726.34,334.92,,,741.429
Denmark,DNK,2021-06-10,1864.62,316.72,,,734.286
Denmark,DNK,2021-06-11,2012.33,299.39,,,655.286
Denmark,DNK,2021-06-12,2171.37,283.48,,,582.571
Denmark,DNK,2021-06-13,2343.07,270.19,,,560.429
Denmark,DNK,2021-06-14,2528.52,261.74,,,483.571
Denmark,DNK,2021-06-15,2728.75,260.78,,,451.857
Denmark,DNK,2021-06-16,2944.82,266.72,,,429.714
Denmark,DNK,2021-06-17,3177.84,277.39,,,351.0
Denmark,DNK,2021-06-18,3339.34,292.94,,,330.429
Denmark,DNK,2021-06-19,3415.25,312.62,,,299.714
Denmark,DNK,2021-06-20,3468.69,333.78,,,272.0
Denmark,DNK,2021-06-21,3523.28,354.3,,,254.0
Denmark,DNK,2021-06-22,3584.81,373.42,,,241.429
Denmark,DNK,2021-06-23,3652.4,391.07,,,231.857
Denmark,DNK,2021-06-24,3723.45,407.2,,,213.286
Denmark,DNK,2021-06-25,3795.78,424.53,,,190.714
Denmark,DNK,2021-06-26,3868.04,448.41,,,193.429
Denmark,DNK,2021-06-27,3939.52,483.78,,,186.571
Denmark,DNK,2021-06-28,4009.75,532.13,,,184.429
Denmark,DNK,2021-06-29,4078.04,589.68,,,184.714
Denmark,DNK,2021-06-30,4143.73,651.53,,,197.286
Denmark,DNK,2021-07-01,4206.44,710.18,,,214.0
Denmark,DNK,2021-07-02,4193.14,756.06,,,257.143
Denmark,DNK,2021-07-03,4098.31,786.31,,,272.0
Denmark,DNK,2021-07-04,3979.24,800.76,,,308.0
Denmark,DNK,2021-07-05,3858.3,797.19,,,339.143
Denmark,DNK,2021-07-06,3741.86,781.05,,,365.714
Denmark,DNK,2021-07-07,3630.28,760.05,,,408.429
Denmark,DNK,2021-07-08,3522.28,733.22,,,458.286
Denmark,DNK,2021-07-09,3416.64,711.15,,,484.429
Denmark,DNK,2021-07-10,3312.61,698.99,,,516.571
Denmark,DNK,2021-07-11,3209.9,695.11,,,527.0
Denmark,DNK,2021-07-12,3108.45,701.66,,,558.0
Denmark,DNK,2021-07-13,3008.37,719.14,,,631.0
Denmark,DNK,2021-07-14,2909.74,744.75,,,704.286
Denmark,DNK,2021-07-15,2812.66,776.53,,,777.571
Denmark,DNK,2021-07-16,2862.68,808.38,,,846.571
Denmark,DNK,2021-07-17,3064.57,834.41,,,905.0
Denmark,DNK,2021-07-18,3305.43,852.13,,,977.857
Denmark,DNK,2021-07-19,3548.32,858.23,,,982.429
Denmark,DNK,2021-07-20,3788.01,856.9,,,981.857
Denmark,DNK,2021-07-21,4029.06,855.22,,,948.286
Denmark,DNK,2021-07-22,4276.98,855.31,,,898.143
Denmark,DNK,2021-07-23,4535.85,862.41,,,850.143
Denmark,DNK,2021-07-24,4808.12,881.15,,,814.0
Denmark,DNK,2021-07-25,5095.04,914.44,,,773.857
Denmark,DNK,2021-07-26,5396.17,961.98,,,774.286
Denmark,DNK,2021-07-27,5710.8,1018.55,,,764.0
Denmark,DNK,2021-07-28,6038.6,1079.08,,,726.714
Denmark,DNK,2021-07-29,6379.37,1140.78,,,788.571
Denmark,DNK,2021-07-30,6427.77,1200.38,,,794.714
Denmark,DNK,2021-07-31,6146.81,1250.54,,,848.714
Denmark,DNK,2021-08-01,5769.35,1284.12,,,847.286
Denmark,DNK,2021-08-02,5391.13,1307.68,,,882.857
Denmark,DNK,2021-08-03,5042.71,1329.82,,,884.714
Denmark,DNK,2021-08-04,4727.34,1348.34,,,920.571
Denmark,DNK,2021-08-05,4439.27,1367.89,,,869.571
Denmark,DNK,2021-08-06,4172.1,1389.22,,,881.571
Denmark,DNK,2021-08-07,3921.11,1407.87,,,850.143
Denmark,DNK,2021-08-08,3683.41,1432.08,,,879.714
Denmark,DNK,2021-08-09,3457.47,1457.72,,,869.429
Denmark,DNK,2021-08-10,3242.51,1478.73,,,890.857
Denmark,DNK,2021-08-11,3038.19,1509.71,,,918.571
Denmark,DNK,2021-08-12,2844.33,1542.71,,,952.143
Denmark,DNK,2021-08-13,2824.41,1561.25,,,974.0
Denmark,DNK,2021-08-14,2976.44,1570.86,,,998.714
Denmark,DNK,2021-08-15,3166.53,1566.34,,,994.571
Denmark,DNK,2021-08-16,3348.84,1538.68,,,998.714
Denmark,DNK,2021-08-17,3514.76,1498.6,,,1002.143
Denmark,DNK,2021-08-18,3667.72,1448.37,,,985.286
Denmark,DNK,2021-08-19,3812.92,1390.41,,,989.714
Denmark,DNK,2021-08-20,3954.11,1339.88,,,975.286
Denmark,DNK,2021-08-21,4093.35,1300.98,,,958.857
Denmark,DNK,2021-08-22,4231.45,1271.35,,,974.143
Denmark,DNK,2021-08-23,4368.59,1252.54,,,955.571
Denmark,DNK,2021-08-24,4504.62,1236.04,,,929.143
Denmark,DNK,2021-08-25,4639.3,1215.66,,,994.0
Denmark,DNK,2021-08-26,4772.36,1191.2,,,964.571
Denmark,DNK,2021-08-27,4732.36,1161.14,,,964.286
Denmark,DNK,2021-08-28,4504.65,1126.33,,,964.571
Denmark,DNK,2021-08-29,4224.5,1087.12,,,943.571
Denmark,DNK,2021-08-30,3947.22,1047.26,,,946.0
Denmark,DNK,2021-08-31,3690.3,1014.11,,,944.286
Denmark,DNK,2021-09-01,3455.78,984.68,,,873.286
Denmark,DNK,2021-09-02,3240.77,954.11,,,850.143
Denmark,DNK,2021-09-03,3041.76,921.87,,,809.0
Denmark,DNK,2021-09-04,2855.98,886.49,,,776.429
Denmark,DNK,2021-09-05,2681.55,850.38,,,713.714
Denmark,DNK,2021-09-06,2517.26,808.89,,,698.714
Denmark,DNK,2021-09-07,2362.34,756.93,,,655.714
Denmark,DNK,2021-09-08,2216.23,707.74,,,599.714
Denmark,DNK,2021-09-09,2078.53,672.25,,,555.286
Denmark,DNK,2021-09-10,2055.22,650.48,,,540.571
Denmark,DNK,2021-09-11,2145.3,639.6,,,520.571
Denmark,DNK,2021-09-12,2261.57,635.7,,,513.143
Denmark,DNK,2021-09-13,2374.13,642.53,,,484.857
Denmark,DNK,2021-09-14,2477.54,661.19,,,456.571
Denmark,DNK,2021-09-15,2574.4,686.37,,,452.857
Denmark,DNK,2021-09-16,2668.44,713.68,,,432.286
Denmark,DNK,2021-09-17,2762.46,737.12,,,392.571
Denmark,DNK,2021-09-18,2858.08,764.28,,,359.286
Denmark,DNK,2021-09-19,2956.07,802.22,,,350.571
Denmark,DNK,2021-09-20,3056.74,838.48,,,324.571
Denmark,DNK,2021-09-21,3160.14,868.78,,,325.286
Denmark,DNK,2021-09-22,3266.25,893.98,,,313.714
Denmark,DNK,2021-09-23,3375.0,908.61,,,310.286
Denmark,DNK,2021-09-24,3468.71,917.19,,,314.286
Denmark,DNK,2021-09-25,3545.37,919.35,,,322.571
Denmark,DNK,2021-09-26,3617.97,913.05,,,327.286
Denmark,DNK,2021-09-27,3691.22,914.2,,,341.714
Denmark,DNK,2021-09-28,3766.14,932.73,,,351.0
Denmark,DNK,2021-09-29,3842.44,963.35,,,367.143
Denmark,DNK,2021-09-30,3919.56,1003.57,,,395.143
Denmark,DNK,2021-10-01,3996.99,1050.3,,,407.429
Denmark,DNK,2021-10-02,4074.39,1096.13,,,415.857
Denmark,DNK,2021-10-03,4151.5,1139.7,,,425.571
Denmark,DNK,2021-10-04,4228.14,1180.58,,,427.714
Denmark,DNK,2021-10-05,4304.17,1222.2,,,434.429
Denmark,DNK,2021-10-06,4379.44,1274.53,,,437.286
Denmark,DNK,2021-10-07,4453.81,1346.41,,,441.714
Denmark,DNK,2021-10-08,4479.17,1442.29,,,467.429
Denmark,DNK,2021-10-09,4451.58,1555.61,,,500.143
Denmark,DNK,2021-10-10,4408.13,1672.04,,,527.571
Denmark,DNK,2021-10-11,4363.02,1782.04,,,552.714
Denmark,DNK,2021-10-12,4320.02,1878.75,,,579.0
Denmark,DNK,2021-10-13,4279.01,1961.72,,,594.714
Denmark,DNK,2021-10-14,4238.89,2036.09,,,625.571
Denmark,DNK,2021-10-15,4198.68,2105.91,,,648.429
Denmark,DNK,2021-10-16,4157.74,2180.98,,,652.714
Denmark,DNK,2021-10-17,4115.74,2270.73,,,672.0
Denmark,DNK,2021-10-18,4072.57,2371.66,,,678.714
Denmark,DNK,2021-10-19,4028.22,2482.72,,,705.571
Denmark,DNK,2021-10-20,3982.74,2595.26,,,729.714
Denmark,DNK,2021-10-21,3936.21,2690.53,,,778.0
Denmark,DNK,2021-10-22,3857.07,2771.03,,,846.571
Denmark,DNK,2021-10-23,3744.17,2841.23,,,928.0
Denmark,DNK,2021-10-24,3623.21,2902.21,,,1000.714
Denmark,DNK,2021-10-25,3504.21,2964.56,,,1109.0
Denmark,DNK,2021-10-26,3390.03,3037.7,,,1203.143
Denmark,DNK,2021-10-27,3280.71,3142.58,,,1274.143
