Country,Quarter,beta,gamma
south-korea,Q10,0.10245369431307016,0.05241479181018128
south-korea,Q11,0.07515054197101326,0.03252454837595782
south-korea,Q12,0.17825387714259583,0.07138477191906399
south-korea,Q13,0.2716558006326786,0.09906305305033002
south-korea,Q14,0,0
spain,Q0,0.022307218611966946,0.02223815154907184
spain,Q1,0.16388647406483578,0.16288718468490196
spain,Q2,0.042366926730394446,0.04152300296614258
spain,Q3,0.05857255034859635,0.055848157676250294
spain,Q4,0.04015463811234021,0.037334312391832936
spain,Q5,0.09381133490220342,0.08582954419637158
spain,Q6,0.02894168312252008,0.0259291356344497
spain,Q7,0.061625234495346216,0.05208329129086368
spain,Q8,0.03701904743736701,0.028043189048183034
spain,Q9,0.038396249107385795,0.02804284241741305
spain,Q10,0.0478218324441081,0.03430952343615753
spain,Q11,0.036039475510666795,0.02567317911122624
spain,Q12,0.05184177075784904,0.03679207624923828
spain,Q13,4.085666203184621e-08,-2.0706209252936162e-08
spain,Q14,-1.9013859250971e-08,-1.266307993919194e-08
singapore,Q0,0.4552311851966803,0.4544323549087248
singapore,Q1,0.048416708519713775,0.048006080605482296
singapore,Q2,0.04272836193529623,0.04228958847133003
singapore,Q3,0.1473292838371819,0.14578055519938898
singapore,Q4,0.10560133559230839,0.1044598009601615
singapore,Q5,0.28882462118908714,0.2855061256884039
singapore,Q6,0.13342105595152384,0.12931047769609066
singapore,Q7,2.6590865384536806,2.4308118240907737
singapore,Q8,0.0559920222140266,0.044658644229830874
singapore,Q9,0.08878362182170889,0.06368890997417627
singapore,Q10,0.09059881008925819,0.058355458090041855
singapore,Q11,0.06061119247935044,0.036871651379386715
singapore,Q12,0.10927456643063897,0.0637388789612512
singapore,Q13,0.0810111590693766,0.04469317116500487
singapore,Q14,0.1210003580368732,0.06424866074270377
sweden,Q0,0.07510778310988764,0.0750251429909275
sweden,Q1,0.02101997965896614,0.020895628413916678
sweden,Q2,0.12458482436577215,0.12320503469975229
sweden,Q3,0.0279353271466169,0.026750299083509798
sweden,Q4,0.036482323990009,0.03357022267820218
sweden,Q5,0.03606899552608881,0.03233569310395692
sweden,Q6,0.03446455399085246,0.030689600872442668
sweden,Q7,0.12544283752921448,0.10599486646391929
sweden,Q8,0.026742704608978277,0.020451279375122065
sweden,Q9,0.05845546668030202,0.04444989242002325
sweden,Q10,0.029813140048680995,0.02247888432340473
sweden,Q11,0.026958123450094244,0.020133017088346986
sweden,Q12,0.04140111741679879,0.03079121699132478
sweden,Q13,0.0299240515591207,0.022229393011809574
sweden,Q14,0.07751053853172997,0.057524262956475045
switzerland,Q0,0.02715817561372444,0.027096205052771202
switzerland,Q1,0.13779343000712335,0.13724528491166152
switzerland,Q2,0.4520550612074514,0.4447242515616182
switzerland,Q3,0.02715653403168255,0.0257680451597121
switzerland,Q4,0.0404460540801582,0.03761016704348039
switzerland,Q5,0.12499106044289711,0.11482785337595977
switzerland,Q6,0.037851563509310494,0.034193588174455676
switzerland,Q7,0.07253814127549395,0.05903174941739617
switzerland,Q8,0.03043746618153695,0.018857868889959693
switzerland,Q9,0.07180608846298717,0.0405161507408281
switzerland,Q10,0.08508266460958232,0.04481638877101039
switzerland,Q11,0.03575582460306729,0.017902349679880164
switzerland,Q12,0.05749973560332099,0.028569047923453127
switzerland,Q13,0.06439910124573808,0.03192873721080563
switzerland,Q14,0.07817856680171625,0.038688518964982745
taiwan,Q0,0.020877880943764835,0.020878243195666425
taiwan,Q1,0.21673209720972209,0.21675883555434672
taiwan,Q2,0.06453341269207395,0.06453155675687242
taiwan,Q3,0.03390315761704834,0.03390084326837262
taiwan,Q4,1.5031327365892873,1.5029705475649404
taiwan,Q5,0.02119769868336674,0.021185065169243764
taiwan,Q6,0.04225841969004568,0.04222969011343058
taiwan,Q7,0.14132047614544124,0.14121397638923452
taiwan,Q8,7.002162186579307,6.884539931749268
taiwan,Q9,0.04084819715281208,0.033952888360577124
taiwan,Q10,0.06120216942429147,0.04330290509384012
taiwan,Q11,0.08462241166793795,0.052108835298129416
taiwan,Q12,0.028949841770195373,0.016572939651855998
taiwan,Q13,0.027395809345063964,0.01565405427141467
taiwan,Q14,0,0
uk,Q0,0.05433208433775865,0.05428575060090185
uk,Q1,0.021941522425535022,0.021852726853439166
uk,Q2,0.04306447269235973,0.042733992828264726
uk,Q3,0.022328708525752517,0.021585557278038358
uk,Q4,0.016820216351467607,0.01574999774943314
uk,Q5,0.06502981657031308,0.05989217772487537
uk,Q6,0.04233088075170892,0.037136520344661875
uk,Q7,0.042978453627637664,0.03376145291414188
uk,Q8,0.03269799810211184,0.022529646511172494
uk,Q9,0.0570555110558311,0.03768084436190182
uk,Q10,0.06795820328670052,0.044027735532385745
uk,Q11,0.046944133049342716,0.03010657978904452
uk,Q12,0.040075890910336705,0.0255173225555004
uk,Q13,0.05921208636381758,0.03759563780535097
uk,Q14,0.04841747313738074,0.030660957869952703
us,Q0,0.09020212203378082,0.09003314620246018
us,Q1,0.04378548633274512,0.04336275108184141
us,Q2,0.041818801966756566,0.04080931779003729
us,Q3,0.030475826005774198,0.028582166241290376
us,Q4,0.02783058523153408,0.025259226137678704
us,Q5,0.0656245887702788,0.05878029331233421
us,Q6,0.028641092006389056,0.024883999780149293
us,Q7,0.06838842491543247,0.05572249631067628
us,Q8,0.043752664227994835,0.033131782922360915
us,Q9,0.04118849774027057,0.030237490194823673
us,Q10,0.03102855480947654,0.022038286613660876
us,Q11,0.031213874570304306,0.02175294045600167
us,Q12,0.021542257642914425,0.0148026416872381
us,Q13,0.019001568288236428,0.012994201658362842
us,Q14,0.020787168311115916,0.014134724461327169
